,width,depth,slope,discharge,bankfull,source,site_id
1462,15.3963414634146,0.8209742574257429,0.00055,9.32,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1463,18.3841463414634,1.1526235489220602,0.00056,18.58,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1464,11.280487804877998,0.3803027027027029,0.00164,2.18,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1465,56.1,1.33,0.0014,113.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1466,14.6,1.15,0.0007,17.9,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1467,9.75371860521824,0.4572,0.0139999999999999,6.852714,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1468,195.0,5.67,0.0011,3426.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1469,121.0,4.87,0.00121,2096.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1470,130.0,2.46,0.0012,650.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1472,18.3536585365854,0.7039468438538209,0.01293,18.15,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1475,13.9939024390244,0.81678431372549,0.00166,10.59,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1476,47.2,0.87,0.0053,58.5,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1477,65.5487804878049,1.95686325581395,0.00056,159.73,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1478,14.6,0.78,0.0007,9.87,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1479,91.4,1.18,9e-05,46.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1480,14.6,1.57,0.0007,29.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1482,36.2716410631553,1.014984,0.008,76.4559,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1483,14.6,0.71,0.0007,8.26,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1484,26.0,1.58,0.0063,89.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
